id,value
0_Computer Science.1_Algorithm.2_Cryptanalysis of the Lorenz cipher,1
0_Computer Science.1_Algorithm.2_Chung Kwei,1
0_Computer Science.1_Algorithm.2_Addition-subtraction chain,7
0_Computer Science.1_Algorithm.2_Polybius square,3
0_Computer Science.1_Algorithm.2_Empirical algorithmics,12
0_Computer Science.1_Algorithm.2_Proof calculus,2382
0_Computer Science.1_Algorithm.2_Copiale cipher,4
0_Computer Science.1_Algorithm.2_I-spline,11
0_Computer Science.1_Algorithm.2_Divide and conquer algorithms,4487
0_Computer Science.1_Algorithm.2_Computability theory,1799
0_Computer Science.1_Algorithm.2_P,803
0_Computer Science.1_Algorithm.2_Arithmometer,36
0_Computer Science.1_Algorithm.2_Sudoku solving algorithms,8
0_Computer Science.1_Algorithm.2_Computational model,14034
0_Computer Science.1_Algorithm.2_Flashsort,6
0_Computer Science.1_Algorithm.2_Lindenbaum's lemma,6
0_Computer Science.1_Algorithm.2_Pushdown automaton,1566
0_Computer Science.1_Algorithm.2_Cycle detection,291
0_Computer Science.1_Algorithm.2_MM algorithm,166
0_Computer Science.1_Algorithm.2_Computational problem,6220
0_Computer Science.1_Algorithm.2_Proof procedure,481
0_Computer Science.1_Algorithm.2_Group 4 compression,2
0_Computer Science.1_Algorithm.2_Middle-square method,1
0_Computer Science.1_Algorithm.2_Functional completeness,205
0_Computer Science.1_Algorithm.2_HOL,2533
0_Computer Science.1_Algorithm.2_Lucas–Lehmer–Riesel test,2
0_Computer Science.1_Algorithm.2_Gas networks simulation,3
0_Computer Science.1_Algorithm.2_Majority problem,64
0_Computer Science.1_Algorithm.2_Spectral Hash,6
0_Computer Science.1_Algorithm.2_Boolean algebra,13030
0_Computer Science.1_Algorithm.2_Parameterized complexity,23608
0_Computer Science.1_Algorithm.2_Enfilade,56
0_Computer Science.1_Algorithm.2_Anatree,1
0_Computer Science.1_Algorithm.2_Numerical stability,24938
0_Computer Science.1_Algorithm.2_Mirek's Cellebration,1
0_Computer Science.1_Algorithm.2_Spaghetti sort,1
0_Computer Science.1_Algorithm.2_Adleman–Pomerance–Rumely primality test,2
0_Computer Science.1_Algorithm.2_Modal logic,5954
0_Computer Science.1_Algorithm.2_Loop variant,112
0_Computer Science.1_Algorithm.2_Low and high hierarchies,12
0_Computer Science.1_Algorithm.2_Top tree,32
0_Computer Science.1_Algorithm.2_Queue automaton,1
0_Computer Science.1_Algorithm.2_City on a Hill,122
0_Computer Science.1_Algorithm.2_Satz,5194
0_Computer Science.1_Algorithm.2_Closed-world assumption,345
0_Computer Science.1_Algorithm.2_Sequence step algorithm,5
0_Computer Science.1_Algorithm.2_Baillie–PSW primality test,2
0_Computer Science.1_Algorithm.2_Arthur–Merlin protocol,1
0_Computer Science.1_Algorithm.2_Look-ahead,3587
0_Computer Science.1_Algorithm.2_NAND gate,10840
0_Computer Science.1_Algorithm.2_TWIRL,87
0_Computer Science.1_Algorithm.2_Mycocepurus castrator,4
0_Computer Science.1_Algorithm.2_Package-merge algorithm,6
0_Computer Science.1_Algorithm.2_Prolog,11006
0_Computer Science.1_Algorithm.2_Discrete system,11169
